"lake","site","date","Kd"
"Okareka","1","2003-03-19",0.309570239630393
"Okareka","1","2003-04-05",0.259352900334569
"Okareka","1","2003-04-16",0.283409040905827
"Okareka","1","2003-05-27",0.269445253638574
"Okareka","1","2003-06-19",0.319044367147943
"Okareka","1","2003-07-23",0.290295075124001
"Okareka","1","2003-08-29",0.261452801075493
"Okareka","1","2003-09-22",0.322663973613819
"Okareka","1","2003-10-22",0.255590803994667
"Okareka","1","2003-11-19",0.300348041355327
"Okareka","1","2003-12-17",0.291742936900918
"Okareka","1","2004-01-20",0.307165643622895
"Okareka","1","2004-02-19",0.306767547810507
"Okareka","1","2004-04-05",0.333237164490876
"Okareka","1","2004-04-22",0.32102585962515
"Okareka","1","2004-05-19",0.288261202301188
"Okareka","1","2004-06-16",0.262974694311754
"Okareka","1","2004-08-25",0.311705479357304
"Okareka","1","2004-09-30",0.335154983175306
"Okareka","1","2004-10-20",0.304040473951151
"Okareka","1","2004-11-18",0.304159225001491
"Okareka","1","2004-12-21",0.317701381358725
"Okareka","1","2005-01-19",0.330243222165861
"Okareka","1","2005-02-23",0.324072076015176
"Okareka","1","2005-03-23",0.329913273643904
"Okareka","1","2005-04-20",0.307541751521741
"Okareka","1","2005-05-17",0.263150467241827
"Okareka","1","2005-06-24",0.296450622692103
"Okareka","1","2005-07-19",0.296687140787036
"Okareka","1","2005-08-25",0.322378898685625
"Okareka","1","2005-09-21",0.306987562379562
"Okareka","1","2005-10-18",0.316448412141739
"Okareka","1","2005-11-16",0.290614907160105
"Okareka","1","2005-12-14",0.276684587656099
"Okareka","1","2006-01-27",0.310350479809247
"Okareka","1","2006-02-21",0.358154633548237
"Okareka","1","2006-03-21",0.300140283037743
"Okareka","1","2006-04-19",0.291657004033726
"Okareka","1","2006-05-24",0.277036095536275
"Okareka","1","2006-06-21",0.329748805626186
"Okareka","1","2006-07-19",0.280390018718434
"Okareka","1","2006-08-16",0.307612816315089
"Okareka","1","2006-09-20",0.298632522272322
"Okareka","1","2006-10-25",0.311257712857138
"Okareka","1","2006-11-14",0.287935507271646
"Okareka","1","2006-12-13",0.275706877619103
"Okareka","1","2007-01-18",0.322794637365129
"Okareka","1","2007-02-22",0.31174570806742
"Okareka","1","2007-03-21",0.277554218862907
"Okareka","1","2007-04-24",0.312087617448282
"Okareka","1","2007-05-23",0.269815201433546
"Okareka","1","2007-06-21",0.289091250178554
"Okareka","1","2007-07-25",0.274084823342359
"Okareka","1","2007-08-22",0.291380027196424
"Okareka","1","2007-09-19",0.275130471932396
"Okareka","1","2007-10-18",0.282011800766653
"Okareka","1","2007-11-15",0.311988736109213
"Okareka","1","2007-12-13",0.276483068863829
"Okareka","1","2008-01-16",0.293121614962293
"Okareka","1","2008-02-20",0.305916118612472
"Okareka","1","2008-03-19",0.376045135941973
"Okareka","1","2008-04-22",0.305088456668485
"Okareka","1","2008-05-21",0.274044458588311
"Okareka","1","2008-06-18",0.364310742974792
"Okareka","1","2008-08-06",0.300518767427954
"Okareka","1","2008-11-19",0.310806447195128
"Okareka","1","2008-12-22",0.284798242385391
"Okareka","1","2009-01-14",0.305106387215423
"Okareka","1","2009-02-18",0.321248289783694
"Okareka","1","2009-03-18",0.260613996512705
"Okareka","1","2009-04-22",0.330162696018327
"Okareka","1","2009-05-20",0.301242690996736
