"date","lake","site","thermo_depth","schmidt_stability","strat"
"2003-09-22","Tarawera","5",0,28.8016851467384,0
"2003-09-22","Okareka","1",0,58.8553034697542,0
"2003-09-23","Okaro","1",1.40464547955009,61.2826457550264,1
"2003-09-23","Rerewhakaaitu","1",0,5.31112065486454,0
"2003-09-30","Rotomahana","2",0,14.3486881865766,0
"2003-10-21","Rotoiti","Okawa",0,13.7228064418397,0
"2003-10-21","Rotoiti","3",6.28953214290821,97.9892334683916,1
"2003-10-21","Rotoiti","4",4.75522411164924,144.668648831826,1
"2003-10-21","Okataina","1",1.22475701775139,113.460739507588,1
"2003-10-21","Rotoehu","3",2.85461896589071,107.413262949137,1
"2003-10-21","Rotoma","1",6.60606368962797,183.780536793137,1
"2003-10-22","Rotorua","2",9.57171713369673,109.106056946505,1
"2003-10-22","Rotorua","5",0,85.8884600416763,0
"2003-10-22","Tikitapu","1",5.28373846476465,180.512283428979,1
"2003-10-22","Tarawera","5",7.60540248601258,160.525264138706,1
"2003-10-22","Okareka","1",4.33875222475023,204.897116618278,1
"2003-10-23","Okaro","1",1.50001245887964,161.864036343249,1
"2003-10-23","Rotomahana","2",4.55228077618911,142.550723133594,1
"2003-10-23","Rerewhakaaitu","1",4.66867357223976,92.762570268169,1
"2003-11-18","Rotoiti","Okawa",0,16.9722501192852,0
"2003-11-18","Rotoiti","3",15.4490571787632,117.853344993622,1
"2003-11-18","Okataina","1",18.4981367335394,243.731870286917,1
"2003-11-18","Rotoehu","3",0,65.4417144222602,0
"2003-11-18","Rotoma","1",13.4867639741645,244.541926200699,1
"2003-11-19","Rotorua","2",0,3.4544147604776,0
"2003-11-19","Rotorua","5",0,43.8813553279055,0
"2003-11-19","Tikitapu","1",10.727518048386,238.753091073859,1
"2003-11-19","Tarawera","5",20.5654866555838,217.625630646082,1
"2003-11-19","Okareka","1",12.5820734258532,266.717049899618,1
"2003-11-20","Okaro","1",4.51894315803902,211.751705472164,1
"2003-11-20","Rotomahana","2",2.65716306162998,190.733560439907,1
"2003-11-20","Rerewhakaaitu","1",0,42.3079438218566,0
"2003-12-16","Rotoiti","Okawa",2.18525370699843,96.4579953775381,1
"2003-12-16","Rotoiti","3",7.56807438100043,302.814472373338,1
"2003-12-16","Rotoiti","4",7.87268825785472,520.10669841223,1
"2003-12-16","Okataina","1",9.61615439686724,535.690632738466,1
"2003-12-16","Rotoehu","3",5.79833213276263,221.592795414664,1
"2003-12-16","Rotoma","1",7.49639760777052,587.828806388773,1
"2003-12-17","Rotorua","2",10.6224965643539,172.906074116375,1
"2003-12-17","Rotorua","5",10.66983727967,236.744599042825,1
"2003-12-17","Tikitapu","1",6.45964586388141,508.144158801824,1
"2003-12-17","Tarawera","5",10.6788817347027,538.177182695024,1
"2003-12-17","Okareka","1",7.01645411368647,546.666264664339,1
"2003-12-18","Okaro","1",4.27702861370906,386.825802176949,1
"2003-12-18","Rotomahana","2",6.64608423952177,440.007192806672,1
"2004-01-20","Tikitapu","1",6.73611182662786,725.97959422511,1
"2004-01-20","Tarawera","5",9.48830127242938,801.16525768658,1
"2004-01-20","Okareka","1",5.55677438569488,726.406215285315,1
"2004-01-22","Rotorua","2",5.64061330836189,247.739303300392,1
"2004-01-22","Rotorua","5",8.46849970493751,247.090304523613,1
"2004-02-18","Rotoiti","Okawa",0,8.58384068511308,0
"2004-02-18","Rotoiti","3",14.9927383667854,279.111199840031,1
"2004-02-18","Rotoiti","4",13.7352088849452,536.840935916544,1
"2004-02-18","Okataina","1",14.472335215019,686.21367931868,1
"2004-02-18","Rotoehu","3",0,18.6410390513035,0
"2004-02-18","Rotoma","1",15.6157793277273,720.597491139527,1
"2004-02-19","Rotorua","2",0,3.15160106320594,0
"2004-02-19","Rotorua","5",0,17.4425963086255,0
"2004-02-19","Tikitapu","1",10.6652802598406,534.695635096548,1
"2004-02-19","Tarawera","5",17.1813330317362,639.194921308776,1
"2004-02-19","Okareka","1",9.74720849122992,547.649148142763,1
"2004-02-23","Okaro","1",7.39126575549268,326.370315264791,1
"2004-02-23","Rotomahana","2",17.5650794129773,381.443938779409,1
"2004-02-23","Rerewhakaaitu","1",0,19.3216565446451,0
"2004-03-24","Okaro","1",8.28417631484958,335.956921082092,1
"2004-03-24","Rotomahana","2",19.5744502812741,352.827721586681,1
"2004-03-24","Rerewhakaaitu","1",0,38.8884350334645,0
